transaction_id,customer_id,timestamp,merchant,category,channel,city,country,payment_method,status,amount_raw,currency,coupon_code,device,is_refund,notes
TX4672890857,1334,2024-01-17 05:50:53,H&M,Travel,online,París,FR,bank_transfer,completed,13.21,EUR,,iOS,0,
TX5712538099,1053,2024-05-20 20:38:23,APPLE STORE,Entertainment,in_store, Bordeaux ,ES,apple_pay,completed,23.62,EUR,,Android,0,duplicate
TX6879868711,1048,2024-04-29 03:10:05,Deliveroo,Entertainment,online, Paris ,FR,paypal,completed,19.7,EUR,,Android,0,
TX7868258381,1347,2024-03-20 21:01:15,fnac,Subscription,online,Montpellier,FR,card,completed,56.8,EUR,freeship,iOS,0,
TX9718829857,1438,2024-03-19 19:24:37,UBER *TRIP,Utilities,online, Paris ,FR,card,completed,43.49,EUR,vip20,,0,
TX8549787822,1464,2024-06-05 06:21:19,Starbucks,Entertainment,in_store,lyon,FR,apple_pay,completed,33.02,EUR,,iOS,0,VIP customer
TX4203463325,1182,16/01/2024 15:24:37, H&M ,Entertainment,in_store,Marseille,FR,google_pay,pending,26.77,EUR,STUDENT5,iOS,0,—
TX5812244535,1507,01/13/2024 12:00,Decathlon,Groceries,in_store, Paris ,FR,paypal,completed,31.06,EUR,WELCOME10,Desktop,0,VIP customer
TX2943280120,1296,06/02/2024 16:01:07,Decathlon,Entertainment,online,lyon,FR,paypal,failed,14.63,EUR,WELCOME10,iOS,0,
TX9718778180,1219,18/01/2024 03:21:59,Spotify,Entertainment,online,Bordeaux,FR,card,completed,41.03,EUR,,Android,0, late delivery 
TX5818986390,1189,05/04/2024 19:39:36,H&M,Travel,online, Nice ,FR,card,completed,12.59,EUR,FREESHIP,Android,0,fraud? check
TX3247032259,1404,2024-06-26 13:31:05,leclerc,Transport,mobile,Bordeaux,FR,google_pay,completed,40.5,EUR,,Android,0,
TX7516393861,1203,2024-05-13 21:45:58,Airbnb,Transport,in_store,Montpellier,ES,bank_transfer,completed,49.98,EUR,,Android,0,
TX5391012915,1214,2024-05-18 12:39:28,Carrefour,Groceries,online,Montpellier,FR,google_pay,completed,27.84,USD,,Android,0,VIP customer
TX9970525636,1213,2024-05-10 13:56:25, Netflix ,Groceries,online, Lille ,FR,bank_transfer,completed,22.07,EUR,,,0,
TX1672395281,1175,not_a_date,Amazon,Food,online,nice,FR,google_pay,completed,31.19,EUR,freeship,Desktop,0,
TX4019249577,1218,2024-04-03 09:46:24,Leclerc,Groceries,mobile,strasbourg,FR,bank_transfer,completed,4.41,EUR,,iOS,0,—
TX9476667049,1013,2024-01-24 07:36:01,AMAZON.FR,Subscription,mobile, Lille ,FR,paypal,completed,29.41,EUR,STUD3NT5,Android,0,
TX5150799403,1480,2024-06-01 20:01:12,uber* eats,Groceries,online,toulouse,FR,google_pay,completed,22.92,EUR,,Android,0,
TX3806150682,1137,2024-03-22 23:17:08,H&M,Food,in_store,Strasbourg,FR,paypal,completed,23.8,EUR,,iOS,0,
TX6443849902,1246,01/04/2024 01:32:13,SNCF,Groceries,online,Niza,FR,paypal,completed,37.48,EUR,,iOS,0,—
TX6980441948,1093,2024-03-08 11:38:44,Zara,Food,online, Marseille ,DE,paypal,completed,23.46,EUR,,Android,0,
TX1835267382,1295,2024-02-03 05:22:36,UBER,Food,in_store, Paris ,FR,bank_transfer,completed,12.38,USD,,Android,0,fraud? check
TX3334486218,1147,2024-06-17 16:06:33,fnac,Transport,in_store,marseille,FR,google_pay,completed,22.54,EUR,,Tablet,0,
